Plot,FPractice,Order,Family,Number,Pollinator
Plot38,SH,Diptera,Syrphidae,1,yes
Plot38,SH,Hymenoptera,Apidae,12,yes
Plot38,SH,Hymenoptera,Braconidae,1,no
Plot38,SH,Hymenoptera,Ichneumonidae,1,no
Plot38,SH,Hymenoptera,Mutilidae,1,no
Plot38,SH,Hymenoptera,Philanthidae,1,no
Plot38,SH,Hymenoptera,Scoliidae,1,no
Plot38,SH,Hymenoptera,Vespidae,1,no
Plot39,SH,Diptera,Bombylildae,1,yes
Plot39,SH,Diptera,Calliphoridae,3,no
Plot39,SH,Diptera,Muscidae,1,no
Plot39,SH,Diptera,Rhiniidae,1,no
Plot39,SH,Diptera,Sarcophagidae,1,no
Plot39,SH,Diptera,Syrphidae,6,yes
Plot39,SH,Hymenoptera,Apidae,1,yes
Plot39,SH,Hymenoptera,Braconidae,1,no
Plot39,SH,Hymenoptera,Ichneumonidae,1,no
Plot39,SH,Hymenoptera,Mutilidae,1,no
Plot39,SH,Hymenoptera,Philanthidae,1,no
Plot39,SH,Hymenoptera,Scoliidae,1,no
Plot39,SH,Hymenoptera,Vespidae,1,no
Plot40,SH,Diptera,Bombylildae,1,yes
Plot40,SH,Diptera,Calliphoridae,1,no
Plot40,SH,Diptera,Muscidae,1,no
Plot40,SH,Diptera,Rhiniidae,1,no
Plot40,SH,Diptera,Sarcophagidae,1,no
Plot40,SH,Diptera,Syrphidae,1,yes
Plot40,SH,Hymenoptera,Apidae,6,yes
Plot40,SH,Hymenoptera,Braconidae,1,no
Plot40,SH,Hymenoptera,Ichneumonidae,1,no
Plot40,SH,Hymenoptera,Mutilidae,1,no
Plot40,SH,Hymenoptera,Philanthidae,1,no
Plot40,SH,Hymenoptera,Scoliidae,1,no
Plot40,SH,Hymenoptera,Vespidae,1,no
Plot41,SH,Diptera,Bombylildae,1,yes
Plot41,SH,Diptera,Calliphoridae,3,no
Plot41,SH,Diptera,Muscidae,1,no
Plot41,SH,Diptera,Rhiniidae,1,no
Plot41,SH,Diptera,Sarcophagidae,1,no
Plot41,SH,Diptera,Syrphidae,1,yes
Plot41,SH,Hymenoptera,Apidae,8,yes
Plot41,SH,Hymenoptera,Braconidae,1,no
Plot41,SH,Hymenoptera,Ichneumonidae,1,no
Plot41,SH,Hymenoptera,Mutilidae,1,no
Plot41,SH,Hymenoptera,Philanthidae,1,no
Plot41,SH,Hymenoptera,Scoliidae,1,no
Plot41,SH,Hymenoptera,Vespidae,1,no
